,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
65,Morocco,36,35.02,25.75,12.41,7.54,6.016,32.0676,0.759999990463257,1,24.9530748995526,1,1,0,0,21,55,5,41.43,2.9,2015,5.163156986236572,8.87202262878418,0.6059176325798035,65.0,0.7129334211349487,-0.22769343852996826,0.8418569564819336
66,Myanmar,22,10.88,31.36,13.95,4.79,5.427,29.0358,1.3400000333786,0,41.6164699276514,0,1,0,0,66,55,50,50.0,7.6,2015,4.223846435546875,8.359018325805664,0.7520642876625061,58.099998474121094,0.8079710602760315,0.6875602006912231,0.6333051919937134
67,Nepal,27,27.81,18.81,15.65,3.08,5.367,69.5002,0.389999985694885,0,55.4205310507949,0,0,0,1,32,37,27,48.57,9.1,2015,4.812436580657959,7.9764404296875,0.7476118803024292,60.20000076293945,0.7634472250938416,0.22741396725177765,0.8235083818435669
68,Netherlands,84,0.08,6.19,37.09,20.01,11.794,4.052,2.09999990463257,1,45.9830613735497,1,1,0,1,56,59,36,47.14,12.5,2015,7.324437141418457,10.882254600524902,0.8790104389190674,72.0,0.9039787650108337,0.2614469826221466,0.411822110414505
69,New Zealand,91,0.1,28.58,22.76,12.97,10.998,20.7336,2.5,1,47.2493127645311,1,1,0,1,61,65,45,51.43,12.1,2015,7.418120861053467,10.608246803283691,0.9873434901237488,72.5999984741211,0.9417842626571655,0.32943692803382874,0.18588870763778687
70,Nicaragua,27,12.49,22.47,20.85,11.37,7.673,88.5716,2.74000000953674,1,38.5770825168105,1,0,0,1,34,47,20,38.57,12.2,2015,5.924112796783447,8.635926246643066,0.826908528804779,66.5999984741211,0.8092591762542725,0.07717341184616089,0.7279983758926392
71,Niger,34,65.13,14.72,2.92,0.93,2.427,192.22,0.239999994635582,1,42.5659713370639,0,0,0,0,19,39,9,42.86,4.7,2015,3.6714537143707275,7.030498027801514,0.713019609451294,52.0,0.7281283140182495,-0.03214083984494209,0.7025496959686279
72,Norway,88,1.24,0.36,38.28,19.17,12.706,5.5002,0.829999983310699,1,47.107290207942,0,1,1,1,49,55,32,52.86,12.4,2015,7.603433609008789,11.033207893371582,0.9468339681625366,72.9000015258789,0.9476205110549927,0.256901353597641,0.2988143563270569
73,Pakistan,30,37.81,16.02,23.49,6.47,5.987,39.8832,0.100000001490116,0,21.9518671141353,0,0,0,1,28,36,12,50.0,2.9,2015,4.823194980621338,8.361321449279785,0.5617201328277588,57.29999923706055,0.5865462422370911,0.08540236949920654,0.7166411876678467
74,Panama,39,4.28,20.41,32.97,15.45,10.085,83.8412,1.79999995231628,1,39.2275162685369,0,1,0,1,39,49,31,44.29,3.9,2015,6.605550289154053,10.255423545837402,0.8826150298118591,69.30000305175781,0.8466691970825195,-0.006957769859582186,0.809942901134491
75,Paraguay,27,2.19,27.81,27.76,9.69,8.814,71.4732,2.52999997138977,1,39.5305725606281,1,1,0,1,22,25,10,45.71,9.9,2015,5.5597243309021,9.376697540283203,0.9141990542411804,65.0999984741211,0.806124746799469,-0.007561531849205494,0.8628882765769958
76,Peru,36,4.07,12.02,50.68,15.59,9.987,59.0564,2.44000005722046,1,45.6342054512299,1,1,0,1,23,38,16,70.0,4.9,2015,5.577263355255127,9.401808738708496,0.7984183430671692,67.19999694824219,0.8022690415382385,-0.0899965763092041,0.883730411529541
77,Philippines,35,1.64,14.66,22.42,6.56,9.007,55.404,1.89999997615814,1,39.7315909966501,1,1,0,1,40,55,42,48.57,3.2,2015,5.547489166259766,8.895648002624512,0.8535885810852051,61.599998474121094,0.9115335941314697,-0.0511600486934185,0.7551915645599365
